Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,85.67,84.71,84.29,82.21,81.96,81.92,81.75,81.83,84.67,85.75,86.13,86.58,88.33,88.32,87.23,85.62,85.98,88.81,87.75,86.63,86.42,86.73,85.27,86.38,85.90,82.40,81.90,84.00,81.48,81.50,81.06,81.02,81.71,81.48,83.58,84.21,80.94,84.23,84.27
Dominican Republic,48.42,47.04,48.75,49.42,48.71,47.38,49.46,53.08,56.50,63.13,65.63,66.50,66.88,70.72,72.90,72.50,73.13,72.15,69.56,64.44,61.81,67.46,70.67,70.88,70.75,70.42,70.85,68.23,67.90,67.96,70.88,72.35,73.69,73.27,71.54,72.88,68.73,70.90,72.69
East Germany,,70.96,66.92,67.75,64.75,63.42,62.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,51.54,50.04,49.46,50.29,51.17,51.75,54.75,57.79,59.67,62.75,62.83,61.88,60.54,60.11,62.38,57.93,49.85,60.40,60.19,61.96,64.31,65.69,63.83,65.52,65.17,61.29,63.90,63.73,65.31,67.04,67.50,62.90,60.79,63.33,64.17,65.77,60.19,65.42,67.60
Egypt,51.83,51.33,43.17,41.63,44.17,45.04,47.92,53.42,63.50,69.04,72.04,71.63,68.42,70.46,70.31,68.57,70.19,69.29,67.42,66.35,69.35,68.90,68.77,68.92,66.54,66.63,66.29,60.44,60.33,57.13,58.31,59.40,58.27,55.06,61.94,64.83,62.88,63.65,60.88
El Salvador,36.75,38.75,37.71,37.63,38.33,40.25,41.54,43.50,49.04,61.04,63.83,68.08,68.13,70.46,76.03,76.96,75.08,75.04,71.75,69.85,70.21,69.13,69.67,68.67,67.79,67.60,69.35,70.35,68.46,68.21,67.40,66.04,67.77,67.94,68.21,69.25,66.67,66.73,64.79
Estonia,,,,,,,,,,,,,,,,73.16,73.98,76.02,74.79,74.63,75.15,75.58,76.33,74.08,71.90,68.00,65.23,72.08,69.19,69.38,69.40,69.19,74.23,74.15,75.46,75.35,69.98,68.19,71.65
Ethiopia,,36.83,37.67,39.21,40.88,38.88,32.54,31.54,29.92,37.88,48.83,55.79,61.00,64.93,67.04,57.32,59.23,60.42,59.31,58.63,58.79,56.92,57.52,59.73,59.79,58.42,57.35,59.17,59.25,59.10,59.15,59.83,58.54,57.69,57.73,61.04,59.54,57.29,57.67
Finland,87.58,87.13,85.29,85.00,83.46,82.50,82.54,80.21,80.04,80.25,83.04,83.96,84.08,86.38,87.23,86.58,88.08,89.40,88.96,87.98,87.31,87.60,87.50,88.17,87.44,82.63,81.88,83.63,80.40,79.98,79.33,80.00,81.54,81.94,82.52,81.52,78.02,80.54,79.29
France,80.75,79.67,79.58,79.25,80.75,81.42,80.79,79.67,82.42,81.92,81.33,81.96,80.96,82.30,80.79,80.04,80.25,81.05,80.96,79.46,77.67,77.71,76.31,78.42,78.21,75.04,74.56,74.08,71.98,71.19,70.83,71.46,72.73,73.81,74.31,74.21,70.75,73.52,73.02
Gabon,65.96,67.67,66.29,63.33,63.50,63.50,65.46,64.29,63.54,64.83,61.75,61.88,64.96,68.34,69.00,69.88,66.88,69.15,66.42,65.81,67.33,72.33,73.63,73.71,73.65,72.31,73.92,75.29,74.63,74.19,72.21,68.54,63.88,64.75,64.81,65.44,63.25,63.35,65.38
Gambia,,,49.63,51.21,57.00,57.42,58.79,60.92,65.33,68.17,66.29,55.38,59.79,67.05,70.77,68.84,68.10,67.15,67.50,66.79,69.00,67.96,67.38,67.88,68.67,63.54,58.27,57.63,58.71,62.00,62.42,62.48,61.48,59.17,62.15,63.81,63.50,64.15,65.94
Germany,,,,,,,,86.21,84.33,80.58,82.58,84.54,83.63,83.61,83.31,82.54,83.73,83.98,83.10,81.85,81.63,81.71,84.31,84.75,85.98,81.48,82.88,82.54,83.06,84.19,85.40,83.52,84.73,84.58,84.04,83.25,79.29,82.98,80.17
Ghana,38.46,44.63,48.38,48.58,51.54,58.04,57.42,56.29,60.00,62.54,63.00,63.42,63.08,62.84,62.25,61.90,56.15,58.69,61.10,62.31,66.23,68.23,69.58,70.96,68.31,64.35,66.50,67.94,67.79,66.23,62.44,62.60,64.40,66.04,69.23,68.48,66.63,68.71,62.08
