Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP,Year
Ukraine,6.54,1.0,11.5,65.81,2.38,10.29,9.54,5.0,4.0,9.75,7.29,7.46,1.54,4.0,5.0,5.0,25.75945871908967,2019
Uruguay,6.5,2.0,11.75,72.71,4.5,11.25,9.0,5.0,6.0,7.88,9.5,7.71,5.0,2.75,3.5,5.0,24.853980706480375,2019
United States,5.5,4.0,11.0,77.44,4.5,10.5,8.0,6.0,5.0,10.0,10.0,9.5,0.0,5.0,4.0,5.5,30.700068672541256,2019
South Africa,5.54,2.0,11.33,68.42,2.96,10.38,10.0,5.0,3.33,8.83,10.5,8.5,3.04,2.0,5.0,5.0,26.687693232754505,2019
Zambia,4.58,1.0,11.33,62.27,2.33,10.5,9.5,4.0,4.5,6.67,10.46,8.0,1.0,4.0,5.0,5.0,23.87209113611826,2019
Zimbabwe,4.0,1.5,10.79,55.35,1.0,10.25,9.5,2.0,4.0,10.0,10.0,4.29,0.0,3.0,2.0,5.0,23.80665338089835,2019
Angola,5.25,1.5,10.96,53.52,2.38,9.83,7.75,2.71,3.0,3.08,10.5,4.5,3.33,2.5,2.21,4.0,24.604861824136073,2020
Albania,5.38,2.0,9.38,64.65,2.5,8.75,9.13,4.5,4.5,9.96,10.0,9.5,3.5,3.0,5.0,5.0,23.442106557444934,2020
Argentina,4.5,3.0,12.29,61.35,2.5,11.67,9.5,4.0,6.0,4.0,10.0,3.21,4.08,2.0,4.5,6.0,26.67843072240923,2020
Armenia,5.75,1.0,10.63,64.67,2.0,9.25,9.5,4.0,5.38,9.96,7.38,10.0,2.88,3.42,3.5,4.88,23.260266598220205,2020
Australia,5.42,4.0,11.83,76.29,4.5,11.17,9.0,6.0,3.5,9.58,10.46,10.0,1.75,5.5,6.0,6.0,27.91648689289285,2020
Austria,4.79,4.0,12.5,76.56,4.5,12.67,10.0,6.0,4.0,9.96,11.5,10.0,1.0,6.0,6.0,5.0,26.79872523392098,2020
Azerbaijan,3.38,1.0,11.67,65.71,1.5,10.63,9.83,1.5,4.5,10.0,7.46,9.13,3.5,3.5,3.0,4.0,24.477300809316045,2020
Belgium,4.5,4.0,12.13,73.21,4.5,11.33,10.0,6.0,3.0,9.96,11.5,10.0,0.0,5.0,6.0,4.5,26.98860794898888,2020
Burkina Faso,5.63,1.0,10.38,61.73,2.5,10.0,10.0,5.0,3.5,9.96,8.92,9.25,0.0,3.5,2.0,3.79,23.598242503485125,2020
Bangladesh,4.83,2.0,11.58,65.9,2.5,11.08,10.0,4.0,2.5,10.0,9.0,8.5,3.5,2.0,2.5,3.0,26.647466666682718,2020
Bulgaria,6.29,2.0,12.63,73.02,3.0,13.21,10.0,5.5,4.5,10.0,10.0,9.88,4.0,3.0,5.0,5.0,24.977015228817827,2020
Bahrain,2.29,2.46,11.33,63.1,2.5,9.17,10.0,3.0,4.0,10.0,10.0,9.58,1.46,4.5,3.0,3.0,24.267749601182402,2020
Belarus,5.5,1.5,11.67,60.9,2.0,10.38,9.5,1.0,5.0,7.04,9.21,8.5,1.33,3.5,3.0,5.0,24.84021555528863,2020
Bolivia,3.67,2.5,10.67,62.79,2.0,10.17,9.5,3.0,3.0,10.0,9.96,9.58,3.63,2.29,2.5,6.0,24.324129149629712,2020
Brazil,2.75,2.5,10.63,64.19,2.0,10.63,8.0,5.0,3.0,5.38,10.5,9.25,5.0,3.0,3.54,6.0,28.020429489328464,2020
Botswana,5.38,2.5,11.88,73.27,3.0,10.5,10.0,4.0,4.5,9.42,11.0,9.38,4.25,3.5,5.0,5.0,23.428665268256065,2020
Canada,3.88,4.0,11.5,78.35,4.79,10.63,10.0,6.0,3.5,9.92,11.0,10.0,1.5,5.5,6.0,6.0,28.13523577333229,2020
Switzerland,5.71,4.0,13.13,83.46,5.0,14.33,10.0,6.0,4.0,9.96,10.5,10.0,5.0,5.0,6.0,4.5,27.33261427958197,2020
Chile,4.13,3.0,11.67,68.15,4.0,10.83,10.0,5.0,5.0,7.96,10.0,9.33,3.5,4.0,4.5,6.0,26.260766071724255,2020
China,5.21,2.0,12.5,71.27,2.0,12.0,10.0,1.5,3.5,9.92,8.54,9.0,5.0,3.5,3.0,3.5,30.31803453154503,2020
Cote d'Ivoire,5.25,0.0,11.17,61.33,2.0,10.5,9.29,3.92,2.0,9.96,10.0,10.0,1.33,2.5,2.25,2.0,24.866842573659532,2020
Cameroon,5.88,1.5,9.75,57.69,1.5,10.13,9.13,2.0,2.58,9.96,9.5,9.5,2.0,2.0,2.5,3.5,24.431291849686872,2020
Colombia,5.38,2.0,10.0,63.02,2.5,10.0,8.5,4.5,5.0,8.04,9.0,9.21,4.5,2.0,2.5,5.0,26.322977121967632,2020
Costa Rica,3.67,2.0,11.13,69.02,2.5,10.13,10.0,5.5,6.0,9.83,9.5,9.92,3.0,2.5,6.0,5.0,24.85676076946945,2020
Cyprus,8.75,4.0,11.5,71.44,3.5,9.0,10.0,6.0,2.5,9.96,9.0,10.0,0.5,5.0,5.0,4.0,23.951188207938095,2020
Germany,5.21,4.0,13.25,79.29,5.0,13.71,9.5,6.0,4.0,9.96,10.21,10.0,0.0,5.0,6.0,5.0,28.988845825659673,2020
Denmark,5.46,4.0,13.17,80.94,5.92,13.71,10.0,6.0,4.0,9.92,10.5,10.0,3.5,6.0,6.0,5.5,26.594715088461133,2020
Dominican Republic,4.83,1.0,11.38,68.73,2.0,10.63,9.5,4.5,5.0,8.75,10.0,9.46,2.08,3.0,3.0,5.0,25.090745377585602,2020
Algeria,2.08,2.0,6.92,57.81,2.0,7.29,10.0,3.0,3.0,9.42,9.0,9.29,4.83,3.0,2.0,2.58,25.828443836566667,2020
Ecuador,4.75,2.0,11.38,60.19,2.5,10.79,6.67,3.5,3.0,9.96,9.5,10.0,0.92,3.0,1.5,5.0,25.28621171229511,2020
Spain,3.67,3.0,12.67,70.04,3.5,12.0,9.5,6.0,4.0,9.96,10.5,10.0,1.46,5.0,5.0,4.5,27.87641830238365,2020
Estonia,4.88,2.5,12.13,69.98,4.0,10.88,9.63,5.5,2.5,9.96,10.58,9.88,0.0,4.0,5.0,5.0,24.167855342751096,2020
Ethiopia,6.13,2.0,8.88,59.54,2.5,9.88,9.0,3.17,2.5,6.96,9.5,6.0,0.13,4.5,2.0,3.5,25.402222905760134,2020
Finland,5.58,4.0,11.79,78.02,5.5,10.92,10.0,6.0,6.0,9.96,11.5,10.0,0.67,6.0,6.0,6.0,26.32864898235327,2020
France,3.75,3.46,12.0,70.75,4.0,11.33,7.5,6.0,2.96,9.96,10.0,10.0,0.0,5.0,5.0,4.0,28.604606202561683,2020
Gabon,6.88,1.5,10.67,63.25,2.0,9.38,9.0,3.0,4.5,9.96,9.5,9.0,1.0,3.0,2.0,5.0,23.45207096782756,2020
United Kingdom,3.5,4.0,11.25,73.79,5.0,10.25,9.5,6.0,4.0,9.96,9.5,9.96,1.5,5.0,6.0,6.0,28.62346018556039,2020
Ghana,3.17,2.5,11.0,66.63,3.0,10.13,9.0,5.0,3.5,9.54,10.42,7.5,1.83,2.5,3.0,6.0,24.972376539613418,2020
Guinea,5.88,2.0,6.04,54.52,1.5,4.54,10.0,3.0,2.0,9.92,8.38,7.38,0.92,2.0,0.5,3.0,23.374945725908503,2020
Greece,4.75,3.0,11.33,66.96,2.5,10.17,5.42,6.0,5.0,9.96,10.38,10.0,1.0,4.5,5.0,5.0,25.962259526911453,2020
Guatemala,5.67,2.5,12.96,70.27,2.0,12.83,9.5,4.0,3.0,10.0,9.58,9.67,3.5,2.83,4.0,6.0,25.076316481449563,2020
Guyana,6.17,3.0,8.46,64.63,2.5,5.46,10.0,4.38,1.96,10.0,9.29,9.67,1.38,1.5,4.0,6.0,22.422774151810067,2020
Honduras,6.83,2.0,11.88,64.75,2.0,10.38,10.0,4.04,5.0,10.0,10.0,8.88,2.67,2.38,2.5,5.0,23.873958426073667,2020
Croatia,5.25,3.0,11.75,70.77,3.0,10.88,9.0,5.5,4.0,9.88,10.0,10.0,3.88,4.5,5.0,5.0,24.787517119533042,2020
Haiti,5.0,0.0,11.75,54.69,1.5,10.58,10.0,3.83,5.0,7.42,9.33,4.46,2.33,1.5,0.0,6.0,23.39798139587709,2020
Hungary,5.42,3.0,12.0,72.52,3.0,11.42,8.71,5.0,4.0,9.13,10.33,9.21,2.0,4.0,6.0,5.5,25.781350431628727,2020
Indonesia,4.92,2.5,10.71,65.42,3.0,10.54,9.5,4.5,2.0,9.75,9.0,9.29,3.54,2.5,2.5,1.5,27.688397968457593,2020
India,4.92,3.0,12.04,68.21,2.5,11.42,10.0,6.0,2.5,9.67,8.0,8.67,4.21,4.5,4.0,2.5,28.614915010096762,2020
Ireland,4.75,4.0,12.63,78.23,4.5,13.0,8.63,6.0,5.5,9.96,11.5,10.0,0.0,6.0,6.0,5.0,26.78381019003299,2020
Iraq,2.17,1.5,8.75,55.98,1.71,6.96,10.0,4.0,2.5,10.0,10.0,10.0,3.92,1.5,1.21,1.5,25.921203584418336,2020
Iceland,5.38,4.0,12.5,78.27,4.5,12.88,8.5,6.0,5.5,8.63,10.29,9.5,4.5,6.0,6.0,6.0,23.79734491297311,2020
Israel,3.13,4.0,13.13,71.4,3.13,13.0,10.0,6.0,2.0,10.0,8.0,10.0,5.0,5.0,2.5,2.5,26.747361329494595,2020
Italy,3.58,2.5,12.79,71.92,3.0,12.67,8.5,5.5,4.5,9.96,11.0,10.0,2.0,4.0,6.0,5.5,28.271538127614914,2020
Jamaica,6.88,3.0,11.21,67.48,2.5,9.83,8.0,4.0,5.0,9.29,11.5,8.92,3.0,2.38,5.0,6.0,23.348834157257194,2020
Jordan,4.71,2.0,11.08,62.63,3.0,9.96,9.0,3.0,3.5,10.0,9.21,10.0,3.5,3.5,3.58,4.0,24.50062270556769,2020
Japan,5.17,4.0,13.33,78.33,4.0,13.0,10.0,5.0,5.5,10.0,9.5,10.0,5.0,5.0,5.0,5.5,29.251515102804817,2020
