Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cuba,,2.40,2.05,1.67,1.67,1.67,1.67,1.39,1.25,1.25,1.25,1.91,2.71,2.24,1.00,0.81,1.50,1.50,1.50,1.50,1.17,1.13,1.00,1.00,1.42,1.50,1.88,1.54,1.75,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.29,2.17
Cyprus,,3.75,3.75,3.75,3.75,3.75,3.58,3.33,3.75,3.30,2.92,2.92,3.06,3.04,3.63,3.21,4.00,4.00,4.00,4.00,3.54,4.42,4.00,4.00,4.00,4.00,4.00,4.00,3.54,3.92,3.67,3.83,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Czech Republic,,,,,,,,,,1.67,2.15,2.54,2.95,2.85,2.54,2.18,3.00,2.88,2.88,3.00,3.25,3.50,3.50,3.50,3.50,3.63,3.67,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Czechoslovakia,3.10,3.33,3.02,2.85,2.50,2.47,2.08,2.08,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,3.65,3.54,3.30,3.09,2.92,2.92,2.92,3.23,2.78,2.47,2.36,2.60,2.92,3.68,5.00,4.94,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Dominican Republic,1.81,1.67,1.67,1.56,1.67,1.67,1.98,2.08,2.08,2.08,2.08,2.47,2.50,2.17,1.00,0.77,1.00,1.38,1.50,1.50,1.04,0.96,0.67,1.50,1.50,1.54,1.50,1.50,1.50,1.50,1.50,1.50,1.83,2.00,2.00,2.00,2.13,2.00,2.33
East Germany,3.75,3.40,3.16,2.92,2.92,2.71,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2.01,1.67,1.67,1.77,2.12,2.08,2.33,2.43,2.29,2.50,2.08,2.05,1.67,1.62,0.96,0.93,1.00,0.75,0.50,0.50,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.29,1.25,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
Egypt,2.60,2.36,1.70,1.67,1.60,0.97,1.01,1.74,2.64,2.92,2.92,2.92,2.92,2.18,0.50,0.57,0.58,0.50,0.88,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.75,1.00,0.75,0.50,0.50,0.63,0.50,1.00
El Salvador,1.98,1.67,1.67,1.32,1.25,1.25,1.25,1.25,1.81,2.08,2.19,2.50,2.50,2.14,1.00,0.81,1.00,1.04,1.38,1.25,1.08,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Estonia,,,,,,,,,,,,,,,,1.87,2.50,2.42,2.50,2.50,2.08,3.00,3.00,3.00,3.00,2.67,2.75,3.50,3.50,3.29,3.00,3.04,3.50,3.50,3.50,3.50,3.50,3.50,3.75
Ethiopia,,0.45,0.42,0.76,1.08,1.67,1.49,1.42,0.83,0.83,0.83,1.35,2.22,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finland,4.31,4.17,3.99,4.10,3.54,3.33,3.23,2.54,2.22,2.08,2.12,2.71,2.64,3.65,5.00,4.49,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,5.00,5.00,5.00,5.00,5.00,4.63,4.92,5.00,5.00,5.00,5.00,5.00,5.00,5.00
France,2.78,3.44,3.40,3.33,3.33,3.33,3.47,3.09,2.78,2.22,2.15,2.71,2.88,3.61,5.00,4.49,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.96,4.79,4.83,4.71,4.50,4.92,5.00
Gabon,2.95,2.92,2.71,2.15,2.26,2.19,2.26,2.08,2.08,2.08,1.70,1.67,1.67,2.08,2.46,2.14,2.79,2.38,2.50,2.38,2.21,2.33,2.50,2.50,2.50,2.58,2.50,2.50,2.50,2.50,2.50,2.75,2.25,2.50,2.21,2.00,2.25,2.00,1.50
Gambia,,,2.50,2.50,2.71,2.33,2.29,2.78,2.92,2.50,2.50,0.97,1.18,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Germany,,,,,,,,3.16,2.64,1.91,1.98,2.60,2.74,3.68,5.00,4.59,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.79,5.58,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Ghana,0.94,1.70,2.22,2.08,2.57,2.92,2.92,2.92,2.92,2.92,2.81,2.29,2.08,1.53,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.00,0.92,0.79,0.04,0.00,0.21,0.50,0.50,0.25,0.00,0.50,0.50,0.50,0.50,0.50,0.50
