Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cuba,,4.00,4.00,4.00,4.00,3.58,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.46,2.50,2.50
Cyprus,,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.50,4.75,5.00,5.00,5.58,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Czech Republic,,,,,,,,,,5.00,5.00,5.00,5.58,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.25,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.04,5.00,5.00,5.00,5.00,5.00
Czechoslovakia,4.00,4.00,4.00,4.00,4.00,3.92,4.33,5.00,5.00,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Denmark,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Dominican Republic,3.00,3.00,3.67,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.58,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.58,4.50,4.50,4.50,4.50
East Germany,5.00,5.00,5.00,5.00,5.00,4.83,4.00,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Ecuador,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.54,4.25,3.96,3.50,3.50,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.46,3.50,3.92,4.50
Egypt,3.83,4.00,4.00,4.00,4.00,4.00,4.67,5.00,4.00,4.00,4.00,3.92,3.00,2.58,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.08,2.29,2.00,2.00,2.00,1.96,1.50,1.50,1.54,2.00,2.00,2.00,2.17,2.58,2.50,2.17,2.00,2.00
El Salvador,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.83,3.17,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.00
Estonia,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.38,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Ethiopia,,1.00,1.00,1.00,1.00,1.08,2.00,1.83,2.00,3.00,3.00,3.00,3.00,3.42,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.17,4.50,4.00,3.50,3.13,2.88,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.88,3.17,3.00,3.00
Finland,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
France,5.75,5.00,5.00,5.00,5.83,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.58,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Gabon,1.25,2.00,2.00,2.00,2.00,2.00,2.25,3.00,3.00,4.00,4.00,4.08,5.00,4.58,3.17,3.00,3.00,3.00,3.00,2.88,2.83,3.00,3.00,3.00,3.00,2.96,2.50,2.04,2.00,2.00,2.00,2.00,2.00,2.00,2.67,3.00,3.00,3.00,3.00
Gambia,,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.58,3.67,3.00,3.00,3.00,3.00,3.29,4.50,4.50,4.38,3.08,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.04,3.38,3.54,4.00,4.00,3.92,4.88
Germany,,,,,,,,6.00,6.00,6.00,6.00,5.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.38,5.58,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Ghana,1.00,1.00,1.00,1.00,1.17,2.00,2.00,2.00,2.17,3.00,3.00,3.00,3.00,2.58,2.00,2.00,2.00,3.00,3.00,3.00,4.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.54
Greece,5.00,3.92,3.00,3.00,3.00,3.00,3.58,4.00,4.00,4.00,4.00,4.00,5.58,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Guatemala,1.00,1.83,2.67,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.75,4.00,4.00,4.00,4.00,4.00,4.00,3.79,4.88,5.00,5.00,4.33,3.00,3.00,3.00,3.42,3.50,3.50,3.50,3.50,3.50,3.50,3.54,4.00,4.00,4.00,4.00
Guinea,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.92,2.00,3.00,3.00,3.00,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.88,1.58,2.50,2.17,2.00,2.00,2.00,2.04,2.50,3.50,3.33,3.00,2.83,2.75
Guinea-Bissau,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.42,2.00,2.00,2.00,2.33,3.67,4.50,5.00,5.00,5.00,5.00,5.00,5.00,4.42,4.00,4.00,4.00,4.00,4.00,4.00,4.38,5.00,5.00,4.79
Guyana,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.25,3.00,3.08,4.00,4.00,4.42,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.67,4.50,4.38,4.50,4.50
Haiti,1.00,1.00,2.50,2.92,1.50,1.00,1.00,1.00,1.00,1.50,1.83,2.00,2.00,2.00,2.00,1.08,1.83,2.00,2.00,2.00,0.33,0.00,0.00,0.21,2.50,2.50,2.50,2.50,2.92,3.33,3.50,3.50,3.50,4.25,4.50,4.42,3.83,3.08,3.00
Honduras,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.17,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.04,4.04,4.50
Hong Kong,1.00,2.33,3.00,3.00,3.00,3.00,2.67,2.00,2.00,2.00,2.75,4.00,3.17,1.92,1.00,1.00,1.25,2.00,2.00,2.38,2.71,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.67,2.83,2.08,2.00
Hungary,4.00,4.67,5.00,5.00,5.00,4.75,3.75,4.00,4.00,4.50,5.00,5.00,5.00,5.42,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.92,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.46,5.00,5.00,5.00,4.63
Iceland,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
India,3.83,3.17,4.00,4.00,4.00,4.00,3.25,2.00,2.42,3.50,4.50,5.00,5.00,5.00,5.00,5.25,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Indonesia,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.17,2.50,1.00,2.58,4.00,4.00,4.00,4.13,4.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,4.00,4.00,4.00,3.00,4.33,4.50,4.50,4.50
Iran,1.58,2.00,2.00,2.33,3.00,2.25,2.00,2.00,3.75,4.00,4.00,4.00,2.75,3.25,4.00,4.00,3.33,3.00,3.00,3.00,3.00,3.67,4.50,4.50,4.50,4.46,4.00,3.58,2.54,2.63,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Iraq,1.92,3.00,3.00,3.00,3.00,3.00,2.50,1.00,1.00,1.00,1.00,1.00,1.00,0.58,0.00,0.00,0.00,0.00,0.00,0.25,0.50,3.71,4.00,4.00,4.00,4.42,4.04,4.50,4.50,4.13,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.13,4.50
Ireland,6.00,6.00,5.83,5.00,5.00,5.00,5.00,5.75,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Israel,5.33,6.00,6.00,6.00,5.00,3.00,3.00,3.00,5.00,5.00,5.67,5.58,5.67,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Italy,6.00,6.00,6.00,5.17,5.00,4.50,4.00,4.00,4.00,4.00,4.50,4.00,5.33,5.83,5.00,4.33,4.00,4.00,4.00,4.00,5.13,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Jamaica,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.42,5.00,5.00,5.00,5.00,5.00,4.25,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.38,4.50
Japan,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.75,5.58,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Jordan,1.83,2.00,2.00,2.00,2.00,2.17,3.58,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.04,4.50,4.50,4.50,4.21,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Kazakhstan,,,,,,,,,,,,,,,,2.00,1.50,1.00,1.00,1.00,1.00,1.29,2.00,2.00,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.08,2.67,3.00,3.58
Kenya,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.67,2.92,3.67,4.00,4.58,4.17,3.17,2.92,3.00,3.00,3.00,3.00,4.75,4.50,4.63,5.50,5.50,5.46,5.00,5.21,5.50,5.50,5.42,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
"Korea, DPR",,5.00,5.00,5.00,3.33,3.00,3.00,2.75,2.00,2.00,2.00,2.00,2.00,0.92,0.00,0.00,0.00,0.33,0.50,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kuwait,2.00,2.00,1.50,1.00,1.00,1.00,1.17,1.25,2.25,3.33,4.00,4.00,4.00,3.58,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.08,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Latvia,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Lebanon,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.17,2.33,3.92,4.00,3.92,2.33,3.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.79,4.50,4.50,4.50,4.50,4.25,4.50
Liberia,1.00,1.00,1.00,1.00,1.00,1.00,0.58,0.00,0.00,0.67,2.00,2.25,3.00,3.83,5.00,5.00,3.50,3.00,3.00,2.17,1.00,1.83,5.50,5.50,5.50,5.50,5.50,5.42,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Libya,1.67,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.58,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.08,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.79,2.63
Lithuania,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
