Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.67,4.00,4.00,4.00,4.00,4.92,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
East Germany,6.00,6.00,6.00,6.00,6.00,6.00,6.00,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Ecuador,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.58,3.00,3.13,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.42,3.00,3.42,3.54
Egypt,4.00,4.00,3.08,3.00,3.00,3.00,3.00,3.00,2.75,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.33,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
El Salvador,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.75,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Estonia,,,,,,,,,,,,,,,,3.00,3.00,2.92,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Ethiopia,,3.00,3.00,3.00,3.00,2.67,1.00,1.00,0.58,2.33,4.58,4.58,4.00,4.00,4.00,3.33,3.00,3.00,3.00,2.54,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.88,2.50,2.50,2.50,2.50
Finland,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
France,4.67,4.00,4.08,4.67,5.00,5.00,4.42,4.00,5.00,5.00,5.00,4.67,4.00,4.00,4.33,5.00,4.33,3.79,3.50,3.50,3.50,3.33,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.96,3.00,3.00
Gabon,4.00,4.00,4.00,4.00,3.92,3.00,2.75,2.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.08,3.00,3.00,3.00,4.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
