Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.08,11.00,10.63,9.50,9.50,9.04,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.08,9.00,9.00,9.00,9.29,9.42,9.33,9.17
Dominican Republic,7.50,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.08,8.50,9.00,9.92,10.00,9.17,9.00,8.83,8.58,9.46,9.42,9.50,9.75,10.58,11.00,11.00,11.00,11.00,11.00,10.75,10.50,10.50,10.96,10.88,11.00,10.96,10.58,10.50,10.92,11.00,10.96
East Germany,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Ecuador,11.00,11.00,11.00,11.00,11.00,11.00,10.50,10.00,9.83,8.00,9.00,9.00,9.33,10.00,9.75,7.42,6.75,7.67,7.04,7.67,8.50,8.21,8.00,8.00,8.00,8.13,8.50,8.00,8.21,8.50,8.50,8.13,7.63,7.83,8.00,8.83,8.71,8.88,8.83
Egypt,7.00,7.00,6.08,6.33,5.75,5.00,5.75,4.92,7.75,8.92,9.58,9.42,8.67,8.33,7.25,8.00,8.00,8.79,9.58,10.25,10.25,8.96,8.29,8.46,8.46,8.50,7.92,7.00,7.13,5.88,5.50,5.63,5.71,6.54,7.71,7.96,8.00,8.00,7.88
El Salvador,0.58,0.50,0.00,0.00,0.25,1.00,1.00,1.92,6.00,8.50,9.00,10.17,10.00,10.00,10.00,9.25,8.25,10.04,9.58,9.50,9.38,9.00,9.00,9.00,9.46,9.50,9.50,9.50,9.50,9.50,9.50,9.33,9.00,9.00,9.00,9.71,9.75,9.29,9.46
Estonia,,,,,,,,,,,,,,,,11.00,11.00,11.00,11.17,11.50,11.50,11.50,11.50,11.50,11.50,11.00,11.00,11.00,10.63,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.88,10.88
Ethiopia,,3.00,3.00,3.00,3.00,2.92,0.25,0.50,0.58,5.00,9.67,10.00,10.00,9.42,8.25,8.83,9.00,8.38,7.67,7.92,8.63,7.42,7.50,7.13,7.00,7.00,6.83,6.75,6.50,6.50,6.50,6.63,6.88,6.67,6.88,7.92,7.29,5.83,6.88
Finland,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.83,11.00,11.00,11.00,11.13,11.50,11.00,11.00,11.00,11.00,11.00,10.75,11.00,10.50,10.50,10.29,9.42,9.79,9.92,9.75,9.46
France,11.00,9.42,9.67,9.17,9.50,10.67,11.00,11.00,11.00,11.00,11.08,11.83,11.25,11.67,10.17,10.00,9.08,9.17,9.75,10.33,9.50,9.42,8.88,9.50,9.71,9.63,9.88,10.00,9.92,9.29,9.00,8.75,8.50,8.83,8.96,8.67,9.17,8.58,8.63
Gabon,10.00,10.00,10.00,10.00,10.00,10.00,9.42,8.33,8.00,10.00,10.00,10.00,10.00,10.00,9.17,8.00,8.08,9.38,8.46,9.50,10.17,10.50,8.92,8.50,8.58,8.83,8.88,8.54,9.25,8.88,8.50,8.00,8.00,8.21,9.00,9.00,9.38,9.88,9.50
Gambia,,,10.00,9.17,9.00,9.00,9.00,9.00,9.00,11.00,10.33,7.58,8.67,10.00,10.00,10.00,8.50,9.17,8.67,9.58,10.50,10.50,10.50,10.50,10.50,10.50,10.33,9.88,9.92,10.00,10.00,9.38,9.46,8.96,8.79,9.38,9.42,9.38,9.50
Germany,,,,,,,,11.00,11.00,11.33,12.00,12.00,12.00,12.00,12.00,12.00,12.00,10.96,11.38,11.08,10.96,11.00,10.92,11.00,11.08,11.00,10.92,10.00,10.46,10.50,10.50,10.38,9.58,9.50,9.50,9.50,9.54,9.75,9.50
Ghana,6.25,6.00,6.00,6.00,6.00,6.00,6.25,6.00,6.25,8.25,8.50,9.92,10.00,10.00,9.00,8.92,8.00,9.46,9.67,9.00,8.38,9.17,9.50,9.50,9.33,9.63,9.38,9.25,9.46,9.00,9.17,8.83,8.88,9.13,9.00,9.33,9.83,9.67,9.04
Greece,10.00,8.33,8.00,8.00,8.00,7.42,7.92,8.75,8.67,9.17,10.75,12.00,11.42,11.50,11.83,8.00,8.83,9.00,9.92,10.83,9.79,9.50,9.08,8.71,8.83,7.92,8.04,8.08,8.04,8.00,8.33,9.63,9.13,9.50,9.42,10.00,10.00,9.71,9.50
Guatemala,2.00,2.92,4.00,4.00,4.00,4.00,4.00,4.00,5.08,6.50,8.00,9.00,10.00,10.42,9.67,9.00,9.00,10.17,8.96,8.50,9.25,9.50,9.50,9.08,9.00,8.96,9.00,9.00,8.67,8.63,8.50,8.54,8.92,8.50,8.88,9.71,9.88,9.33,9.42
Guinea,5.00,6.00,7.00,6.92,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,6.33,6.00,6.00,6.83,7.00,7.46,6.58,8.71,8.54,7.13,7.50,7.04,7.75,8.25,8.08,8.13,8.00,8.00,8.00,8.13,8.17,7.63,7.71,7.75,7.71,8.00,7.67
Guinea-Bissau,,,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.42,8.83,9.00,9.58,8.67,7.21,9.63,8.29,9.00,8.75,8.54,8.50,8.50,8.29,8.00,8.00,8.29,8.29,8.13,8.00,8.00,8.33,8.29,8.50,8.08
Guyana,5.00,5.00,5.00,4.83,5.67,7.00,7.00,7.00,7.00,7.17,10.08,12.00,12.00,12.00,9.67,7.42,7.00,7.83,8.58,8.88,9.50,9.50,9.33,9.50,9.04,9.00,9.00,9.00,8.83,8.75,8.63,8.83,9.13,9.50,9.21,8.46,8.58,8.38,9.25
Haiti,5.17,6.00,5.08,5.00,2.00,2.00,2.00,2.00,2.00,3.83,4.92,10.00,8.92,4.58,4.00,4.00,5.17,7.00,5.58,5.00,6.50,4.63,6.17,8.00,9.00,9.00,8.96,9.00,9.50,9.50,9.46,9.00,9.00,9.21,9.00,8.58,8.75,8.42,8.04
Honduras,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,5.00,8.08,9.00,9.08,10.75,10.38,10.42,10.50,10.38,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.50,10.21,9.96,9.50,9.96,9.79,9.75,10.08,10.00
Hong Kong,11.50,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.33,12.00,12.00,12.00,12.00,12.00,11.17,9.50,10.50,11.46,10.83,10.67,10.58,10.50,10.75,11.00,11.00,10.54,10.54,10.67,10.17,10.17,10.92,9.08,9.79,10.00,9.42,9.29,9.83,10.00
Hungary,12.00,12.00,12.00,12.00,12.00,11.92,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.42,11.00,10.63,10.54,11.29,10.92,11.21,10.83,10.50,10.88,11.00,11.00,10.58,10.50,10.79,11.00,10.75,10.29,10.50,10.46,10.21,10.50,10.21,10.21
Iceland,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.75,11.50,11.50,11.50,11.50,11.50,11.42,10.54,10.88,10.88,11.00,11.00,11.00,10.79,10.46,10.50,10.50,10.50,10.50,10.50,10.50
India,4.92,3.00,3.92,4.00,4.00,4.00,2.17,2.33,5.25,7.83,9.92,10.67,10.00,9.92,8.17,8.00,6.33,7.00,7.63,7.96,8.46,8.42,7.58,6.92,6.50,7.00,6.46,6.00,6.08,6.50,6.42,6.79,6.50,6.50,7.13,7.58,7.75,8.00,7.83
Indonesia,8.00,7.50,6.33,6.00,6.00,6.00,6.00,8.00,7.92,8.50,9.00,9.00,7.50,7.00,5.58,4.25,4.08,5.21,7.33,7.67,7.54,8.54,9.00,9.00,8.63,8.46,8.42,8.29,8.00,8.25,8.46,8.50,8.50,8.67,8.50,8.58,7.92,8.33,8.21
Iran,2.00,3.00,3.00,3.33,3.50,3.58,5.00,6.00,9.00,9.67,11.00,11.00,12.00,11.17,9.75,8.58,7.25,7.83,8.00,8.50,9.58,9.25,9.00,8.79,8.50,8.46,8.08,8.00,8.25,8.25,8.50,8.75,8.96,9.50,8.63,9.13,8.58,8.63,8.63
Iraq,3.00,4.00,4.00,4.00,3.25,3.00,3.00,1.25,1.58,4.83,5.00,5.42,4.17,5.00,4.08,3.00,3.25,8.63,9.00,6.00,3.96,2.92,3.00,3.04,4.58,6.54,6.25,6.00,5.92,5.50,5.21,5.17,5.92,6.54,7.71,7.96,7.50,7.13,7.00
