Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cuba,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.17,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.08,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.42,3.00
Cyprus,,2.00,2.00,2.00,2.58,3.00,3.92,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Czech Republic,,,,,,,,,,5.00,5.75,6.00,6.00,5.92,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Czechoslovakia,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Denmark,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Dominican Republic,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.33,2.00,2.00,2.00,2.00,2.21,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.33,2.42,2.50,2.67,3.00,3.00,3.00,3.00
East Germany,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Ecuador,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.33,3.00,3.00,3.00,3.00,3.00,3.00,2.63,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.75,3.00,3.00,2.50
Egypt,2.67,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.50,2.92,3.92,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.96,3.50,3.50,3.50,3.04,2.88,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
El Salvador,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,3.17,3.25,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.50,2.50,2.88,2.75,2.29,1.50,1.50,1.50,1.50,1.83,2.00,2.00,1.63,1.50,1.50,1.50,1.50,1.96,2.75,2.67,2.21
Estonia,,,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Ethiopia,,3.00,3.00,3.00,3.00,2.92,2.00,0.83,0.00,2.00,3.75,4.58,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.71,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Finland,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
